,,"I09","I09","I09","I09","I09","I09","I11","I11","I11","I11","I11","I11","I12","I12","I12","I12","I12","I12","I24","I24","I24","I24","I24","I24","I29","I29","I29","I29","I29","I29","I30","I30","I30","I30","I30","I30","I36","I36","I36","I36","I36","I36","I39","I39","I39","I39","I39","I39"
"Time","Time","Lat","Lon","PM1","PM2.5","PM10","NO2","Lat","Lon","PM1","PM2.5","PM10","NO2","Lat","Lon","PM1","PM2.5","PM10","NO2","Lat","Lon","PM1","PM2.5","PM10","NO2","Lat","Lon","PM1","PM2.5","PM10","NO2","Lat","Lon","PM1","PM2.5","PM10","NO2","Lat","Lon","PM1","PM2.5","PM10","NO2","Lat","Lon","PM1","PM2.5","PM10","NO2"
"UTC","Local","°","°","μg/m³","μg/m³","μg/m³","μg/m³
","°","°","μg/m³","μg/m³","μg/m³","μg/m³
","°","°","μg/m³","μg/m³","μg/m³","μg/m³
","°","°","μg/m³","μg/m³","μg/m³","μg/m³
","°","°","μg/m³","μg/m³","μg/m³","μg/m³
","°","°","μg/m³","μg/m³","μg/m³","μg/m³
","°","°","μg/m³","μg/m³","μg/m³","μg/m³
","°","°","μg/m³","μg/m³","μg/m³","μg/m³
"
2023-01-01 00:00:00,2023-01-01 01:00:00,51.4422,5.4844,14.33,19.75,23.58,5,51.4454,5.4855,11.91,15.56,22.14,36,51.4414,5.4716,12.51,18.80,31.83,14,51.4446,5.4788,11.20,15.68,29.71,24,51.4351,5.4798,12.30,16.31,32.11,5,51.4375,5.4516,8.59,13.22,22.02,19,51.4389,5.4818,14.33,18.85,25.24,27,51.4390,5.4649,15.49,20.50,31.04,22
2023-01-01 00:10:00,2023-01-01 01:10:00,51.4422,5.4844,12.26,17.60,29.85,6,51.4454,5.4855,10.14,14.48,19.51,35,51.4414,5.4716,11.94,18.21,28.75,13,,,,,,,51.4351,5.4799,10.62,14.65,29.59,12,51.4375,5.4516,7.33,10.86,18.03,16,51.4392,5.4825,11.04,15.72,20.69,29,51.4390,5.4649,13.98,19.06,32.39,21
2023-01-01 00:10:01,2023-01-01 01:10:01,,,,,,,,,,,,,,,,,,,51.4446,5.4788,11.43,15.07,29.82,24,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-01 00:20:00,2023-01-01 01:20:00,51.4422,5.4844,9.16,11.80,20.93,5,51.4454,5.4855,8.69,11.56,16.14,35,51.4414,5.4716,9.30,14.90,27.04,13,51.4445,5.4788,9.27,14.55,22.12,24,51.4351,5.4798,9.47,13.93,28.20,,,,,,,,51.4390,5.4826,9.05,12.47,18.13,31,51.4390,5.4649,13.79,17.72,27.79,20
2023-01-01 00:20:01,2023-01-01 01:20:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.4375,5.4516,6.91,11.42,20.49,21,,,,,,,,,,,,
2023-01-01 00:30:00,2023-01-01 01:30:00,51.4422,5.4844,10.41,13.80,23.38,4,51.4454,5.4855,8.38,11.37,19.11,36,,,,,,,,,,,,,51.4351,5.4798,6.51,10.66,19.47,2,51.4375,5.4516,5.82,10.43,15.91,20,51.4390,5.4826,8.43,12.19,18.25,31,,,,,,
2023-01-01 00:30:01,2023-01-01 01:30:01,,,,,,,,,,,,,51.4414,5.4716,8.91,13.45,24.72,12,51.4445,5.4788,7.71,12.46,20.85,23,,,,,,,,,,,,,,,,,,,51.4390,5.4649,8.13,11.81,20.95,20
2023-01-01 00:40:00,2023-01-01 01:40:00,51.4422,5.4844,10.12,14.10,28.42,5,51.4454,5.4855,7.13,9.95,17.60,37,51.4414,5.4716,7.33,11.41,21.68,11,51.4445,5.4788,6.77,10.67,19.23,22,51.4351,5.4799,6.30,9.92,15.05,4,51.4375,5.4516,5.78,9.67,15.02,21,,,,,,,51.4390,5.4649,6.66,10.58,18.10,19
2023-01-01 00:40:01,2023-01-01 01:40:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.4390,5.4826,8.37,13.17,18.21,29,,,,,,
2023-01-01 00:50:00,2023-01-01 01:50:00,,,,,,,51.4454,5.4855,7.53,10.24,15.88,36,51.4414,5.4716,7.29,12.21,23.35,12,51.4445,5.4788,6.61,10.54,24.72,24,51.4351,5.4799,6.70,12.08,23.23,6,51.4375,5.4516,5.00,8.58,17.60,20,51.4387,5.4820,7.57,11.24,16.55,29,51.4390,5.4649,6.46,10.32,20.58,19
2023-01-01 00:50:01,2023-01-01 01:50:01,51.4422,5.4844,8.02,10.80,19.09,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-01 01:00:00,2023-01-01 02:00:00,51.4422,5.4844,7.75,12.04,20.75,5,,,,,,,51.4414,5.4716,6.60,9.90,19.35,12,51.4445,5.4788,7.65,10.56,17.23,24,,,,,,,51.4375,5.4517,4.99,10.36,16.79,20,51.4387,5.4820,7.93,10.84,16.34,29,51.4390,5.4649,5.55,9.29,17.57,20
2023-01-01 01:00:01,2023-01-01 02:00:01,,,,,,,51.4454,5.4855,6.56,9.52,14.83,34,,,,,,,,,,,,,51.4351,5.4799,5.98,9.43,20.78,,,,,,,,,,,,,,,,,,,
2023-01-01 01:10:00,2023-01-01 02:10:00,51.4422,5.4844,6.52,10.77,21.75,6,51.4454,5.4855,7.67,10.28,17.50,36,51.4414,5.4715,7.31,11.83,19.42,11,51.4445,5.4788,6.40,9.19,20.19,23,51.4351,5.4799,5.86,9.98,23.30,7,,,,,,,51.4385,5.4819,7.52,11.36,17.47,32,51.4390,5.4649,6.06,9.59,21.07,21
2023-01-01 01:10:01,2023-01-01 02:10:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.4375,5.4517,5.49,9.29,16.46,21,,,,,,,,,,,,
2023-01-01 01:20:00,2023-01-01 02:20:00,51.4422,5.4844,8.00,11.88,20.62,5,51.4454,5.4854,6.13,9.12,15.84,36,,,,,,,51.4445,5.4788,6.48,9.91,21.54,23,51.4351,5.4799,5.93,9.39,19.05,5,51.4375,5.4517,4.71,8.90,14.83,22,51.4386,5.4820,6.59,9.05,13.68,31,51.4390,5.4649,4.94,7.00,13.98,20
2023-01-01 01:20:01,2023-01-01 02:20:01,,,,,,,,,,,,,51.4414,5.4715,6.29,10.17,20.53,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-01 01:30:00,2023-01-01 02:30:00,51.4422,5.4844,7.14,10.18,18.44,5,51.4454,5.4854,5.45,8.16,12.98,37,,,,,,,,,,,,,51.4351,5.4798,5.28,8.84,19.78,6,51.4375,5.4517,5.11,9.96,15.46,22,51.4386,5.4820,7.58,10.34,15.83,30,,,,,,
2023-01-01 01:30:01,2023-01-01 02:30:01,,,,,,,,,,,,,51.4414,5.4715,6.27,10.45,22.98,12,51.4445,5.4788,6.78,9.51,18.49,24,,,,,,,,,,,,,,,,,,,51.4390,5.4649,5.16,7.78,12.96,21
2023-01-01 01:40:00,2023-01-01 02:40:00,51.4422,5.4844,7.01,10.69,21.23,5,51.4454,5.4854,6.91,9.69,15.51,37,51.4414,5.4715,6.69,10.53,20.80,12,51.4445,5.4788,5.60,7.76,20.41,24,51.4351,5.4798,5.26,7.58,17.62,4,51.4375,5.4517,4.90,7.76,14.76,24,,,,,,,51.4390,5.4649,4.61,7.06,13.25,21
2023-01-01 01:40:01,2023-01-01 02:40:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.4385,5.4807,7.13,10.45,15.15,30,,,,,,
2023-01-01 01:50:00,2023-01-01 02:50:00,,,,,,,51.4454,5.4854,6.30,8.69,14.57,39,51.4414,5.4715,6.11,10.03,20.01,13,51.4445,5.4788,7.14,9.58,17.62,25,51.4351,5.4798,5.07,7.68,21.60,4,,,,,,,51.4386,5.4817,6.22,7.70,11.95,31,51.4390,5.4649,4.05,6.73,14.50,21
2023-01-01 01:50:01,2023-01-01 02:50:01,51.4422,5.4844,7.31,9.69,14.29,6,,,,,,,,,,,,,,,,,,,,,,,,,51.4375,5.4516,5.57,8.60,15.39,21,,,,,,,,,,,,
2023-01-01 02:00:00,2023-01-01 03:00:00,51.4422,5.4844,6.00,9.37,15.77,7,,,,,,,51.4414,5.4715,6.52,9.82,18.96,11,51.4445,5.4788,5.78,7.68,23.26,26,51.4351,5.4798,5.21,7.23,13.73,4,51.4375,5.4516,5.14,9.04,13.18,23,51.4387,5.4815,6.07,8.10,13.02,32,51.4390,5.4649,4.80,7.19,18.51,22
2023-01-01 02:00:01,2023-01-01 03:00:01,,,,,,,51.4455,5.4855,5.02,7.03,13.00,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-01 02:10:00,2023-01-01 03:10:00,51.4422,5.4844,6.26,10.00,13.72,6,51.4455,5.4855,5.16,7.23,13.47,38,51.4414,5.4715,6.79,9.80,19.40,11,51.4445,5.4788,4.57,7.01,12.30,26,51.4351,5.4798,4.09,6.70,17.48,4,51.4375,5.4517,4.41,7.65,14.68,23,51.4387,5.4815,5.87,7.88,12.73,33,51.4390,5.4649,4.24,6.69,15.87,22
2023-01-01 02:20:00,2023-01-01 03:20:00,51.4422,5.4844,6.30,9.03,17.32,6,51.4455,5.4855,5.29,7.64,14.15,36,51.4414,5.4715,7.08,11.23,19.47,12,,,,,,,51.4352,5.4799,4.96,6.63,15.46,4,51.4375,5.4517,4.80,7.68,12.98,22,51.4387,5.4815,5.10,7.81,14.26,33,,,,,,
2023-01-01 02:20:01,2023-01-01 03:20:01,,,,,,,,,,,,,,,,,,,51.4445,5.4788,5.76,8.34,19.77,27,,,,,,,,,,,,,,,,,,,51.4391,5.4648,4.54,6.60,14.92,23
2023-01-01 02:30:00,2023-01-01 03:30:00,51.4422,5.4844,6.32,9.65,15.56,5,51.4455,5.4855,5.40,7.59,11.88,38,,,,,,,51.4445,5.4788,6.81,9.60,17.24,27,51.4352,5.4799,4.20,6.94,13.59,4,,,,,,,51.4382,5.4813,5.69,8.74,13.33,33,51.4391,5.4648,3.64,5.56,12.12,23
2023-01-01 02:30:01,2023-01-01 03:30:01,,,,,,,,,,,,,51.4414,5.4715,5.71,9.86,18.09,11,,,,,,,,,,,,,51.4375,5.4517,4.46,6.93,11.36,21,,,,,,,,,,,,
2023-01-01 02:40:00,2023-01-01 03:40:00,51.4422,5.4844,6.54,9.21,15.07,6,51.4455,5.4855,4.97,6.77,12.09,38,51.4414,5.4715,5.90,8.29,15.85,12,51.4445,5.4788,5.23,7.81,17.25,27,51.4352,5.4799,4.49,7.10,16.62,5,51.4375,5.4516,4.75,6.99,13.40,20,,,,,,,51.4391,5.4648,3.31,5.85,10.23,24
2023-01-01 02:40:01,2023-01-01 03:40:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.4382,5.4812,5.86,7.74,11.83,33,,,,,,
2023-01-01 02:50:00,2023-01-01 03:50:00,51.4422,5.4844,5.47,7.71,15.55,6,51.4455,5.4855,4.78,6.97,11.19,41,51.4414,5.4715,5.75,8.38,17.07,13,51.4445,5.4788,4.71,7.47,18.78,27,51.4352,5.4799,4.48,7.40,15.65,7,51.4375,5.4516,4.00,6.84,14.21,22,51.4382,5.4811,5.39,8.24,12.85,33,,,,,,
2023-01-01 02:50:01,2023-01-01 03:50:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.4391,5.4648,3.30,5.63,9.86,23
2023-01-01 03:00:00,2023-01-01 04:00:00,51.4422,5.4844,5.40,7.74,13.89,7,51.4455,5.4855,5.05,6.68,11.34,43,51.4414,5.4715,5.56,8.96,16.87,12,51.4445,5.4788,6.16,8.28,13.63,28,51.4352,5.4799,3.87,6.19,20.64,5,51.4375,5.4516,3.58,7.73,12.83,25,51.4382,5.4811,4.94,6.85,10.07,34,51.4390,5.4649,3.54,5.46,11.22,25
