,,"I36","I36","I36","I36","I36","I36"
"Time","Time","Lat","Lon","PM1","PM2.5","PM10","NO2"
"UTC","Local","°","°","μg/m³","μg/m³","μg/m³","μg/m³
"
2023-01-01 00:00:00,2023-01-01 01:00:00,51.4389,5.4818,14.33,18.85,25.24,27
2023-01-01 00:10:00,2023-01-01 01:10:00,51.4392,5.4825,11.04,15.72,20.69,29
2023-01-01 00:20:00,2023-01-01 01:20:00,51.4390,5.4826,9.05,12.47,18.13,31
2023-01-01 00:30:00,2023-01-01 01:30:00,51.4390,5.4826,8.43,12.19,18.25,31
2023-01-01 00:40:01,2023-01-01 01:40:01,51.4390,5.4826,8.37,13.17,18.21,29
2023-01-01 00:50:00,2023-01-01 01:50:00,51.4387,5.4820,7.57,11.24,16.55,29
2023-01-01 01:00:00,2023-01-01 02:00:00,51.4387,5.4820,7.93,10.84,16.34,29
2023-01-01 01:10:00,2023-01-01 02:10:00,51.4385,5.4819,7.52,11.36,17.47,32
2023-01-01 01:20:00,2023-01-01 02:20:00,51.4386,5.4820,6.59,9.05,13.68,31
2023-01-01 01:30:00,2023-01-01 02:30:00,51.4386,5.4820,7.58,10.34,15.83,30
2023-01-01 01:40:01,2023-01-01 02:40:01,51.4385,5.4807,7.13,10.45,15.15,30
2023-01-01 01:50:00,2023-01-01 02:50:00,51.4386,5.4817,6.22,7.70,11.95,31
2023-01-01 02:00:00,2023-01-01 03:00:00,51.4387,5.4815,6.07,8.10,13.02,32
2023-01-01 02:10:00,2023-01-01 03:10:00,51.4387,5.4815,5.87,7.88,12.73,33
2023-01-01 02:20:00,2023-01-01 03:20:00,51.4387,5.4815,5.10,7.81,14.26,33
2023-01-01 02:30:00,2023-01-01 03:30:00,51.4382,5.4813,5.69,8.74,13.33,33
2023-01-01 02:40:01,2023-01-01 03:40:01,51.4382,5.4812,5.86,7.74,11.83,33
2023-01-01 02:50:00,2023-01-01 03:50:00,51.4382,5.4811,5.39,8.24,12.85,33
2023-01-01 03:00:00,2023-01-01 04:00:00,51.4382,5.4811,4.94,6.85,10.07,34
2023-01-01 03:10:00,2023-01-01 04:10:00,51.4383,5.4811,5.70,8.33,11.53,35
2023-01-01 03:20:01,2023-01-01 04:20:01,51.4385,5.4815,5.06,7.13,11.65,35
2023-01-01 03:30:00,2023-01-01 04:30:00,51.4385,5.4815,5.77,7.33,11.06,34
2023-01-01 03:40:00,2023-01-01 04:40:00,51.4385,5.4815,,,,34
2023-01-01 03:50:00,2023-01-01 04:50:00,51.4384,5.4817,5.55,6.93,12.16,34
2023-01-01 04:00:00,2023-01-01 05:00:00,51.4385,5.4817,5.54,7.46,11.23,34
2023-01-01 04:10:01,2023-01-01 05:10:01,51.4385,5.4817,5.97,7.71,11.95,36
2023-01-01 04:20:00,2023-01-01 05:20:00,51.4385,5.4816,4.83,7.26,11.47,36
2023-01-01 04:30:00,2023-01-01 05:30:00,51.4385,5.4816,4.24,6.64,10.21,36
2023-01-01 04:40:00,2023-01-01 05:40:00,51.4385,5.4815,6.09,7.93,11.97,38
2023-01-01 04:50:00,2023-01-01 05:50:00,51.4385,5.4815,6.19,8.31,12.45,37
2023-01-01 05:00:00,2023-01-01 06:00:00,51.4385,5.4815,5.57,7.81,12.90,34
2023-01-01 05:10:01,2023-01-01 06:10:01,51.4385,5.4815,4.60,6.26,10.31,34
2023-01-01 05:20:00,2023-01-01 06:20:00,51.4385,5.4815,5.70,7.46,11.10,35
2023-01-01 05:30:00,2023-01-01 06:30:00,51.4386,5.4814,4.72,6.66,10.16,35
2023-01-01 05:40:00,2023-01-01 06:40:00,51.4386,5.4814,4.89,7.05,10.28,34
2023-01-01 05:50:01,2023-01-01 06:50:01,51.4385,5.4814,4.96,6.64,11.49,35
2023-01-01 06:00:00,2023-01-01 07:00:00,51.4385,5.4814,5.88,7.47,10.62,35
2023-01-01 06:10:00,2023-01-01 07:10:00,51.4385,5.4814,5.26,7.44,10.56,34
2023-01-01 06:20:00,2023-01-01 07:20:00,51.4385,5.4817,4.50,7.18,10.44,34
2023-01-01 06:30:00,2023-01-01 07:30:00,51.4385,5.4816,5.07,8.08,10.54,35
2023-01-01 06:40:00,2023-01-01 07:40:00,51.4385,5.4815,4.57,6.32,8.48,34
2023-01-01 06:50:01,2023-01-01 07:50:01,51.4385,5.4815,5.81,7.73,10.89,33
2023-01-01 07:00:00,2023-01-01 08:00:00,51.4385,5.4815,4.61,6.91,11.09,31
2023-01-01 07:10:00,2023-01-01 08:10:00,51.4383,5.4814,4.54,6.02,8.78,30
2023-01-01 07:20:00,2023-01-01 08:20:00,51.4383,5.4814,5.16,7.43,11.53,31
2023-01-01 07:30:00,2023-01-01 08:30:00,51.4383,5.4814,5.61,7.08,11.32,32
2023-01-01 07:40:01,2023-01-01 08:40:01,51.4383,5.4814,5.09,7.37,10.30,33
2023-01-01 07:50:00,2023-01-01 08:50:00,51.4383,5.4812,4.77,6.75,10.56,33
2023-01-01 08:00:00,2023-01-01 09:00:00,51.4383,5.4811,5.06,6.83,9.96,33
2023-01-01 08:10:00,2023-01-01 09:10:00,51.4383,5.4811,4.39,6.40,10.16,32
