Time(UTC),Lat(°),Lon(°),PM1(μg/m³),PM2.5(μg/m³),PM10(μg/m³),NO2(μg/m³),Sensor_number
2022-02-06,51.4379,5.3581,6.79,10.16,17.46,19.0,2
2022-02-26,51.4379,5.3581,7.39,11.79,19.5,18.0,2
2022-02-17,51.4379,5.3581,4.22,6.13,9.91,9.0,2
2022-02-09,51.4379,5.3581,6.37,8.77,14.87,15.0,2
2022-02-23,51.4379,5.3581,11.64,19.33,32.62,18.0,2
2022-01-13,51.4379,5.3581,32.21,38.38,41.78,34.0,2
2022-02-02,51.4379,5.3581,8.56,12.88,21.2,17.0,2
2022-01-21,51.4379,5.3581,7.55,11.9,18.4,8.0,2
2022-01-28,51.4379,5.3581,19.53,24.2,31.23,15.0,2
2022-01-09,51.4379,5.3581,7.5,9.45,13.19,12.0,2
2022-01-03,51.4379,5.3581,6.11,8.4,13.91,6.0,2
2022-01-07,51.4379,5.3581,11.35,16.6,25.01,21.0,2
2022-01-10,51.4379,5.3581,9.87,14.65,22.15,11.0,2
2022-02-27,51.4379,5.3581,18.19,24.48,33.88,34.0,2
2022-02-20,51.4379,5.3581,5.0,8.27,14.93,33.0,2
2022-01-17,51.4379,5.3581,35.09,47.08,51.46,12.0,2
2022-01-19,51.4379,5.3581,16.99,22.98,29.94,18.0,2
2022-01-11,51.4379,5.3581,24.19,27.57,30.33,27.0,2
2022-01-24,51.4379,5.3581,33.86,37.57,43.62,22.0,2
2022-01-26,51.4379,5.3581,36.75,53.98,59.39,27.0,2
2022-02-25,51.4379,5.3581,4.44,7.06,12.99,20.0,2
2022-01-05,51.4379,5.3581,7.84,9.82,13.83,12.0,2
2022-02-18,51.4379,5.3581,9.69,15.14,23.75,22.0,2
2022-02-05,51.4379,5.3581,7.93,9.32,12.95,16.0,2
2022-02-24,51.4379,5.3581,7.77,12.11,20.83,14.0,2
2022-01-06,51.4379,5.3581,7.6,11.87,19.27,10.0,2
2022-01-12,51.4379,5.3581,25.25,29.42,33.28,31.0,2
2022-02-22,51.4379,5.3581,8.31,13.67,23.83,23.0,2
2022-02-07,51.4379,5.3581,3.24,5.25,10.27,15.0,2
2022-03-01,51.4379,5.3581,14.57,16.75,20.8,51.0,2
2022-02-19,51.4379,5.3581,7.39,11.81,19.82,27.0,2
2022-02-03,51.4379,5.3581,15.8,21.34,30.82,20.0,2
2022-01-23,51.4379,5.3581,20.87,24.07,30.88,12.0,2
2022-02-10,51.4379,5.3581,7.45,8.5,11.58,17.0,2
2022-02-11,51.4379,5.3581,14.34,17.66,23.09,19.0,2
2022-01-27,51.4379,5.3581,32.55,59.28,66.49,32.0,2
2022-01-20,51.4379,5.3581,24.33,28.82,34.82,19.0,2
2022-02-12,51.4379,5.3581,9.1,13.17,20.83,22.0,2
2022-01-08,51.4379,5.3581,6.84,9.05,13.51,12.0,2
2022-01-04,51.4379,5.3581,6.9,10.71,18.2,8.0,2
2022-02-04,51.4379,5.3581,13.87,16.36,22.07,13.0,2
2022-01-25,51.4379,5.3581,34.81,38.98,39.63,13.0,2
2022-01-18,51.4379,5.3581,19.64,26.6,37.77,15.0,2
2022-02-16,51.4379,5.3581,6.87,9.26,14.53,23.0,2
2022-01-15,51.4379,5.3581,27.15,31.65,35.38,26.0,2
2022-01-29,51.4379,5.3581,17.12,23.0,31.62,23.0,2
2022-02-01,51.4379,5.3581,11.19,18.55,30.29,11.0,2
2022-02-15,51.4379,5.3581,3.93,5.84,11.02,20.0,2
2022-01-22,51.4379,5.3581,6.78,10.47,18.81,15.0,2
2022-01-02,51.4379,5.3581,8.49,10.9,15.91,6.0,2
2022-01-16,51.4379,5.3581,34.35,39.94,38.96,22.0,2
2022-02-13,51.4379,5.3581,12.08,16.21,23.04,22.0,2
2022-02-21,51.4379,5.3581,7.4,11.87,18.79,30.0,2
2022-02-08,51.4379,5.3581,6.99,10.98,19.62,20.0,2
2022-01-14,51.4379,5.3581,33.9,37.27,35.81,37.0,2
2022-01-30,51.4379,5.3581,13.95,17.44,23.65,9.0,2
2022-02-28,51.4379,5.3581,9.75,13.02,19.03,47.0,2
2022-01-01,51.4379,5.3581,21.35,27.98,36.84,7.0,2
2022-02-14,51.4379,5.3581,8.54,10.61,15.2,13.0,2
2022-01-31,51.4379,5.3581,11.39,17.92,29.37,13.0,2
2022-02-06,51.5108,5.3606,6.6,9.78,17.63,13.0,3
2022-02-25,51.5108,5.3606,5.48,8.09,15.11,19.0,3
2022-02-26,51.5108,5.3606,7.26,10.83,18.37,26.0,3
2022-01-06,51.5108,5.3606,7.18,10.93,18.24,9.0,3
2022-01-24,51.5108,5.3606,25.76,28.45,34.48,15.0,3
2022-02-12,51.5108,5.3606,7.08,10.55,18.79,26.0,3
2022-01-23,51.5108,5.3606,14.34,17.29,24.74,10.0,3
2022-01-30,51.5108,5.3606,12.31,15.28,22.03,6.0,3
2022-01-29,51.5108,5.3606,14.15,18.85,27.94,22.0,3
2022-01-08,51.5108,5.3606,6.41,8.46,13.53,9.0,3
2022-02-13,51.5108,5.3606,9.34,13.14,21.16,27.0,3
2022-01-26,51.5108,5.3606,32.48,40.32,46.0,17.0,3
2022-02-18,51.5108,5.3606,8.61,13.46,22.26,13.0,3
2022-02-19,51.5108,5.3606,7.27,11.6,20.87,12.0,3
2022-02-05,51.5108,5.3606,6.77,7.95,12.07,10.0,3
2022-01-14,51.5108,5.3606,23.71,25.5,27.1,28.0,3
2022-02-08,51.5108,5.3606,6.87,10.43,18.7,15.0,3
2022-01-12,51.5108,5.3606,17.93,20.49,25.2,25.0,3
2022-02-03,51.5108,5.3606,13.52,18.71,28.01,20.0,3
2022-01-16,51.5108,5.3606,26.01,29.02,29.44,22.0,3
2022-01-20,51.5108,5.3606,18.18,21.73,27.99,12.0,3
2022-02-16,51.5108,5.3606,6.46,8.76,14.91,19.0,3
2022-01-02,51.5108,5.3606,7.55,9.99,16.54,5.0,3
2022-01-18,51.5108,5.3606,13.3,18.88,30.05,14.0,3
2022-02-22,51.5108,5.3606,7.89,12.79,22.03,11.0,3
2022-02-10,51.5108,5.3606,7.77,8.76,12.6,14.0,3
2022-01-15,51.5108,5.3606,20.09,23.11,27.28,18.0,3
2022-02-07,51.5108,5.3606,4.06,5.91,10.54,4.0,3
2022-01-04,51.5108,5.3606,7.55,11.27,19.09,6.0,3
2022-01-27,51.5108,5.3606,31.17,47.22,53.33,28.0,3
2022-03-01,51.5108,5.3606,11.46,13.92,17.97,44.0,3
2022-02-28,51.5108,5.3606,8.06,10.78,17.03,33.0,3
2022-02-17,51.5108,5.3606,4.73,6.48,10.7,5.0,3
2022-01-07,51.5108,5.3606,9.65,14.54,24.43,18.0,3
2022-01-11,51.5108,5.3606,17.18,19.7,23.73,21.0,3
2022-02-09,51.5108,5.3606,7.04,9.62,16.49,14.0,3
2022-01-09,51.5108,5.3606,5.81,7.4,11.54,9.0,3
2022-01-10,51.5108,5.3606,8.78,12.86,20.9,9.0,3
2022-01-22,51.5108,5.3606,6.56,9.98,17.85,18.0,3
2022-01-21,51.5108,5.3606,6.69,10.13,16.68,7.0,3
2022-02-11,51.5108,5.3606,11.34,13.93,19.86,20.0,3
2022-01-25,51.5108,5.3606,26.82,28.86,31.79,12.0,3
2022-01-01,51.5108,5.3606,12.0,20.7,27.79,4.0,3
2022-02-21,51.5108,5.3606,7.35,11.28,17.7,11.0,3
2022-02-27,51.5108,5.3606,13.95,20.08,30.5,32.0,3
2022-01-19,51.5108,5.3606,15.7,22.08,31.5,16.0,3
2022-02-20,51.5108,5.3606,5.71,8.74,16.02,19.0,3
2022-01-17,51.5108,5.3606,28.51,35.0,40.07,14.0,3
2022-02-14,51.5108,5.3606,7.17,9.16,15.04,9.0,3
2022-01-03,51.5108,5.3606,6.1,8.43,15.15,5.0,3
2022-01-28,51.5108,5.3606,14.92,18.0,24.93,13.0,3
2022-02-04,51.5108,5.3606,11.69,13.89,20.05,10.0,3
